"fips","name"
1,"Accomack Circuit Court"
3,"Albemarle Circuit Court"
5,"Alleghany Circuit Court"
7,"Amelia Circuit Court"
9,"Amherst Circuit Court"
11,"Appomattox Circuit Court"
13,"Arlington Circuit Court"
15,"Augusta Circuit Court"
17,"Bath Circuit Court"
19,"Bedford Circuit Court"
21,"Bland Circuit Court"
23,"Botetourt Circuit Court"
25,"Brunswick Circuit Court"
27,"Buchanan Circuit Court"
29,"Buckingham Circuit Court"
31,"Campbell Circuit Court"
33,"Caroline Circuit Court"
35,"Carroll Circuit Court"
36,"Charles City Circuit Court"
37,"Charlotte Circuit Court"
41,"Chesterfield Circuit Court"
43,"Clarke Circuit Court"
45,"Craig Circuit Court"
47,"Culpeper Circuit Court"
49,"Cumberland Circuit Court"
51,"Dickenson Circuit Court"
53,"Dinwiddie Circuit Court"
57,"Essex Circuit Court"
61,"Fauquier Circuit Court"
63,"Floyd Circuit Court"
65,"Fluvanna Circuit Court"
67,"Franklin Circuit Court"
69,"Frederick Circuit Court"
71,"Giles Circuit Court"
73,"Gloucester Circuit Court"
75,"Goochland Circuit Court"
77,"Grayson Circuit Court"
79,"Greene Circuit Court"
81,"Greensville Circuit Court"
83,"Halifax Circuit Court"
85,"Hanover Circuit Court"
87,"Henrico Circuit Court"
89,"Henry Circuit Court"
91,"Highland Circuit Court"
93,"Isle of Wight Circuit Court"
97,"King and Queen Circuit Court"
99,"King George Circuit Court"
101,"King William Circuit Court"
103,"Lancaster Circuit Court"
105,"Lee Circuit Court"
107,"Loudoun Circuit Court"
109,"Louisa Circuit Court"
111,"Lunenburg Circuit Court"
113,"Madison Circuit Court"
115,"Mathews Circuit Court"
117,"Mecklenburg Circuit Court"
119,"Middlesex Circuit Court"
121,"Montgomery Circuit Court"
125,"Nelson Circuit Court"
127,"New Kent Circuit Court"
131,"Northampton Circuit Court"
133,"Northumberland Circuit Court"
135,"Nottoway Circuit Court"
137,"Orange Circuit Court"
139,"Page Circuit Court"
141,"Patrick Circuit Court"
143,"Pittsylvania Circuit Court"
145,"Powhatan Circuit Court"
147,"Prince Edward Circuit Court"
149,"Prince George Circuit Court"
153,"Prince William Circuit Court"
155,"Pulaski Circuit Court"
157,"Rappahannock Circuit Court"
159,"Richmond County Circuit Court"
161,"Roanoke County Circuit Court"
163,"Rockbridge Circuit Court"
165,"Rockingham Circuit Court"
167,"Russell Circuit Court"
169,"Scott Circuit Court"
171,"Shenandoah Circuit Court"
173,"Smyth Circuit Court"
175,"Southampton Circuit Court"
177,"Spotsylvania Circuit Court"
179,"Stafford Circuit Court"
181,"Surry Circuit Court"
183,"Sussex Circuit Court"
185,"Tazewell Circuit Court"
187,"Warren Circuit Court"
191,"Washington Circuit Court"
193,"Westmoreland Circuit Court"
195,"Wise Circuit Court"
197,"Wythe Circuit Court"
199,"York County/Poquoson Circuit Court"
520,"Bristol Circuit Court"
530,"Buena Vista Circuit Court"
540,"Charlottesville Circuit Court"
550,"Chesapeake Circuit Court"
560,"Clifton Forge Circuit Court"
570,"Colonial Heights Circuit Court"
590,"Danville Circuit Court"
630,"Fredericksburg Circuit Court"
650,"Hampton Circuit Court"
670,"Hopewell Circuit Court"
680,"Lynchburg Circuit Court"
690,"Martinsville Circuit Court"
700,"Newport News Circuit Court"
710,"Norfolk Circuit Court"
730,"Petersburg Circuit Court"
740,"Portsmouth Circuit Court"
750,"Radford Circuit Court"
760,"Richmond City Circuit Court"
770,"Roanoke City Circuit Court"
775,"Salem Circuit Court"
790,"Staunton Circuit Court"
800,"Suffolk Circuit Court"
810,"Virginia Beach Circuit Court"
820,"Waynesboro Circuit Court"
830,"Williamsburg/James City County Circuit Court"
840,"Winchester Circuit Court"
