court,interstate,primary,secondary,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21
King George County,0,780087,91893,0,0,0,0,0,0,0,0,0,0,0,0,1,2,9,6,1,3,3,5,14
Highland County,0,50759,22141,0,0,0,0,4,2,0,0,4,4,0,0,0,1,17,0,0,4,9,0,0
Isle of Wight County,0,834397,354506,0,0,0,0,0,0,0,0,0,17,36,73,148,154,348,299,244,185,204,123,445
King & Queen County,0,219301,68309,0,0,0,0,0,0,0,0,0,0,3,10,16,16,12,8,11,9,8,7,22
Northumberland County,0,194853,107435,0,0,0,0,0,0,0,0,0,2,2,7,3,6,31,18,16,10,11,4,16
Appomattox County,0,330339,137053,0,0,0,0,0,0,0,0,0,4,0,2,2,2,5,0,1,0,4,0,4
Northampton County,0,655714,91097,0,0,0,0,0,0,0,0,0,0,0,2,2,2,22,25,27,10,18,0,15
Arlington County,1404447,1673086,1213450,0,0,0,0,20,11,7,8,58,57,80,143,191,380,948,658,557,419,373,201,613
Orange County,0,605972,204625,0,0,0,0,0,0,0,0,3,4,5,25,92,110,209,98,162,99,107,120,554
Augusta County,1952156,920406,612380,0,0,0,0,0,0,0,7,250,56,27,64,66,58,102,50,31,18,35,8,15
Nottoway County,0,379926,197286,0,0,0,0,0,0,0,0,0,7,39,56,64,63,74,36,40,30,16,16,50
Bath County,0,90266,43278,0,0,0,0,0,2,0,1,3,25,21,37,27,17,32,28,8,14,27,2,14
Bedford County / Bedford,0,1212475,648261,0,0,0,0,0,0,1,0,8,7,5,34,41,38,160,73,83,51,58,36,83
Page County,0,327732,142457,0,0,0,0,0,0,0,1,1,2,3,31,7,7,44,12,17,5,13,6,12
Martinsville,0,109019,126378,0,0,0,0,0,0,0,0,1,3,0,0,2,13,38,30,29,38,113,3,8
Newport News,1719617,1590411,1055448,0,0,0,0,0,0,1,3,4,35,71,195,298,289,602,414,327,248,260,145,385
Charlottesville,6336,292199,294572,0,0,0,0,0,1,1,1,3,5,13,15,24,49,164,596,462,229,140,61,108
Virginia Beach,1833171,2056113,3670950,0,0,0,0,4,2,3,5,17,171,182,338,1064,1148,1915,1439,1045,775,774,495,1230
Hopewell,109483,148864,132159,0,0,0,0,0,0,0,1,35,9,9,45,52,88,87,48,48,20,40,8,26
Brunswick County,461134,354334,208045,0,0,0,0,0,0,1,0,1,0,0,1,8,67,90,114,163,69,166,8,155
Buchanan County,0,323191,276911,0,0,0,0,0,0,0,0,1,7,11,13,29,32,47,32,27,25,44,2,18
Bland County,601994,65443,67433,0,0,0,0,0,0,0,0,0,2,7,5,2,3,7,3,2,1,4,1,1
Nelson County,46611,563293,94483,0,0,0,0,0,0,1,0,2,10,1,7,7,15,67,11,15,10,34,19,112
Botetourt County,1079806,658834,232508,0,0,0,0,0,0,0,0,2,1,2,13,15,34,131,49,29,35,41,16,73
New Kent County,1263526,373078,106761,0,0,0,0,0,0,0,0,0,0,2,2,8,9,22,20,14,9,16,6,29
Buckingham County,0,300681,140677,0,0,0,0,0,0,0,0,0,3,1,6,4,4,7,2,2,4,2,0,5
Buena Vista,0,34371,24346,0,0,0,0,0,0,0,1,0,9,21,32,56,59,83,45,37,16,16,17,36
Waynesboro,110826,147868,148661,0,0,0,0,0,0,0,0,48,8,1,4,13,20,24,15,9,6,12,3,9
Danville,0,694707,251531,0,0,0,0,0,0,2,3,79,144,30,58,109,81,96,78,37,17,47,12,44
York County / Poquoson,750135,1032260,456107,0,0,0,0,0,0,0,0,0,10,63,116,124,113,243,198,185,138,177,81,302
Wise County / Norton,0,827010,344125,0,0,0,0,0,0,0,0,4,15,9,13,15,30,212,173,94,62,205,29,51
Wythe County,1537890,324610,231281,0,0,0,0,0,1,1,3,6,72,13,37,43,45,85,60,29,30,32,12,28
Washington County,1040331,589109,419837,0,0,0,0,1,0,0,1,8,90,39,66,102,101,201,89,66,55,120,22,74
