fips,Locality,9,10,11,12,13,14,Average
530,Buena Vista,-0.4,2.2,5.8,4.7,6.2,6.3,4.1
520,Bristol,3.2,6.0,1.4,0.7,1.6,3.9,2.8
595,Emporia,-0.4,5.7,3.6,3.2,2.0,1.3,2.6
650,Hampton,-0.2,0.8,5.6,3.3,2.3,1.5,2.2
570,Colonial Heights,-0.4,1.1,2.6,2.1,4.0,3.7,2.2
620,Franklin,-0.2,1.0,1.6,4.6,2.1,3.1,2.1
550,Chesapeake,-0.3,2.0,3.1,2.4,2.1,1.1,1.7
510,Alexandria,5.5,1.4,0.7,0.5,0.9,1.0,1.7
017,Bath County,0.0,2.8,2.3,2.1,0.8,0.2,1.4
049,Cumberland County,-0.4,-0.4,-0.2,3.0,3.8,2.3,1.3
005,Alleghany County / Covington,4.8,2.7,0.1,-0.1,-0.1,-0.3,1.2
