Locality,9,10,11,12,13,14,Average
Highland County,4.8,10.8,7.1,2.7,0.5,0.4,4.4
Brunswick County,-0.2,0.1,2.0,4.9,4.9,5.3,2.8
Bath County,1.9,2.1,4.8,2.0,0.4,0.6,2.0
Cumberland County,-0.3,-0.1,1.2,4.6,3.4,3.0,2.0
King & Queen County,-0.3,-0.1,0.5,3.3,4.3,3.8,1.9
Page County,0.2,0.2,2.4,2.4,2.7,2.0,1.6
Craig County,8.1,-0.2,0.8,0.7,0.0,0.1,1.6
Giles County,4.4,-0.1,1.0,1.7,1.0,0.8,1.5
Greensville County,-0.2,0.5,2.7,1.5,1.5,1.4,1.2
Surry County,-0.3,-0.1,-0.2,2.2,3.3,2.4,1.2
Sussex County,-0.3,-0.2,-0.4,2.0,2.9,2.3,1.1
Westmoreland County,-0.3,0.0,0.2,1.7,2.3,2.2,1.0
Lunenburg County,-0.3,0.1,1.4,2.1,1.6,1.0,1.0
Charles City County,-0.3,-0.1,1.5,1.5,1.7,1.6,1.0
Buckingham County,-0.2,0.1,1.1,1.5,1.9,1.6,1.0
