District Court FIPS Codes,Locality,Secondary,Primary,Interstate,All
001,Accomack County,303599,877704,0,1181303
003,Albemarle County,914351,1615120,1166890,3696361
005,Alleghany County,110302,133724,458839,702866
007,Amelia County,173913,307104,0,481017
009,Amherst County,206253,795130,0,1001384
011,Appomattox County,137053,330339,0,467393
013,Arlington County,1213450,1673086,1404447,4290983
015,Augusta County,612380,920406,1952156,3484942
017,Bath County,43278,90266,0,133545
019,Bedford County,624321,1085543,0,1709863
021,Bland County,67433,65443,601994,734870
023,Botetourt County,232508,658834,1079806,1971147
025,Brunswick County,208045,354334,461134,1023513
027,Buchanan County,276911,323191,0,600103
029,Buckingham County,140677,300681,0,441358
031,Campbell County,526941,1133699,0,1660639
033,Caroline County,550987,595460,1482355,2628802
035,Carroll County,250742,386646,966717,1604106
036,Charles City County,70699,103995,0,174694
037,Charlotte County,104594,257810,0,362404
041,Chesterfield County,2755060,4591738,1395375,8742173
043,Clarke County,123119,663181,0,786300
045,Craig County,37725,63280,0,101005
047,Culpeper County,443535,1066496,0,1510031
049,Cumberland County,75284,146952,0,222236
051,Dickenson County,146452,173523,0,319974
053,Dinwiddie County,289226,408106,670806,1368138
057,Essex County,99656,309819,0,409475
059,Fairfax County,8367192,9070873,9448432,26886497
061,Fauquier County,724000,1962817,896186,3583004
063,Floyd County,139505,220772,0,360277
065,Fluvanna County,191137,248051,53536,492724
067,Franklin County,620851,924267,0,1545118
069,Frederick County,602132,1280389,1275740,3158261
071,Giles County,83715,456414,0,540129
073,Gloucester County,240067,787188,0,1027256
075,Goochland County,248307,605966,863133,1717406
077,Grayson County,105371,211098,0,316469
079,Greene County,117724,329411,0,447135
081,Greensville County,111681,129827,614780,856288
083,Halifax County,317487,694313,0,1011800
085,Hanover County,1166691,1033717,2544057,4744465
087,Henrico County,3512891,1921862,3693220,9127974
089,Henry County,425433,999221,0,1424654
091,Highland County,22141,50759,0,72900
093,Isle of Wight County,354506,834397,0,1188903
830,James City County,348604,750087,730481,1829172
097,King & Queen County,68309,219301,0,287609
099,King George County,91893,780087,0,871980
101,King William County,113634,287770,0,401404
103,Lancaster County,88107,213842,0,301949
105,Lee County,119391,440653,0,560044
107,Loudoun County,3039080,4079953,0,7119032
109,Louisa County,302743,484452,655856,1443050
111,Lunenburg County,112361,149061,0,261422
113,Madison County,91678,416808,0,508485
115,Mathews County,43023,144023,0,187046
117,Mecklenburg County,373701,626531,478335,1478567
119,Middlesex County,67126,274969,0,342096
"121,122",Montgomery County,730562,1125352,1191823,3047736
"",Nansemond Maintenance Area,62,0,0,62
125,Nelson County,94483,563293,46611,704387
127,New Kent County,106761,373078,1263526,1743365
131,Northampton County,91097,655714,0,746811
133,Northumberland County,107435,194853,0,302288
135,Nottoway County,197286,379926,0,577213
137,Orange County,204625,605972,0,810597
